Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Moneypoint 2,Hard Coal,coal,PP,IE,305,0.32,,0,0,0,1986,,,2025,52.608,-9.423,,,,,,,,,
Moneypoint 3,Hard Coal,coal,PP,IE,305,0.32,,0,0,0,1987,,,2025,52.608,-9.423,,,,,,,,,
Gacko,Lignite,lignite,PP,BA,300,0.32,,0,0,0,1983,,,2041,43.172,18.512,,,,,,,,,
Stanari,Lignite,lignite,PP,BA,300,0.4,,0,0,0,2016,,,2041,44.759,17.823,,,,,,,,,
Ugljevik,Lignite,lignite,PP,BA,300,0.32,,0,0,0,1985,,,2033,44.682,18.967,,,,,,,,,
Kryvorizka 10,Hard Coal,coal,PP,UA,300,0.32,,0,0,0,1972,,,2041,47.543,33.66,,,,,,,,,
Kryvorizka 3,Hard Coal,coal,PP,UA,300,0.32,,0,0,0,1965,,,2041,47.543,33.66,,,,,,,,,
Kryvorizka 4,Hard Coal,coal,PP,UA,300,0.32,,0,0,0,1966,,,2041,47.543,33.66,,,,,,,,,
Ladyzhyn 1,Hard Coal,coal,PP,UA,300,0.32,,0,0,0,1970,,,2041,48.706,29.219,,,,,,,,,
Ladyzhyn 2,Hard Coal,coal,PP,UA,300,0.32,,0,0,0,1971,,,2041,48.706,29.219,,,,,,,,,
Ladyzhyn 3,Hard Coal,coal,PP,UA,300,0.32,,0,0,0,1971,,,2041,48.706,29.219,,,,,,,,,
Kryvorizka 5,Hard Coal,coal,PP,UA,282,0.32,,0,0,0,1967,,,2041,47.543,33.66,,,,,,,,,
Turow B4,Lignite,lignite,PP,PL,261,0.32,,0,0,0,1963,,,2041,50.949,14.913,,,,,,,,,
Turow B5,Lignite,lignite,PP,PL,261,0.32,,0,0,0,1964,,,2041,50.949,14.913,,,,,,,,,
Turow B6,Lignite,lignite,PP,PL,261,0.32,,0,0,0,1964,,,2041,50.949,14.913,,,,,,,,,
Soma Kolin 1,Lignite,lignite,PP,TR,255,0.4,,0,0,0,2019,,,2041,39.231,27.718,,,,,,,,,
Soma Kolin 2,Lignite,lignite,PP,TR,255,0.4,,0,0,0,2019,,,2041,39.231,27.718,,,,,,,,,
Polaniec B2,Hard Coal,coal,PP,PL,242,0.377,,0,0,0,1980,,,2041,50.438,21.337,,,,,,,,,
Polaniec B3,Hard Coal,coal,PP,PL,242,0.377,,0,0,0,1980,,,2041,50.438,21.337,,,,,,,,,
Polaniec B4,Hard Coal,coal,PP,PL,242,0.377,,0,0,0,1981,,,2041,50.438,21.337,,,,,,,,,
Polaniec B5,Hard Coal,coal,PP,PL,242,0.356,,0,0,0,1982,,,2041,50.438,21.337,,,,,,,,,
Polaniec B6,Hard Coal,coal,PP,PL,242,0.377,,0,0,0,1982,,,2041,50.438,21.337,,,,,,,,,
Sulcis 3,Hard Coal,coal,PP,IT,240,0.32,,0,0,0,1986,,,2025,39.224,8.432,,,,,,,,,
Polaniec B7,Hard Coal,coal,PP,PL,239,0.377,,0,0,0,1983,,,2041,50.438,21.337,,,,,,,,,
Turow B1,Lignite,lignite,PP,PL,235,0.36,,0,0,0,1998,,,2041,50.949,14.913,,,,,,,,,
